C,BarbabasDimblebee,863-365-2953,3ColoradoStreet,Male
C,DrusiJurewicz,896-686-2759,62899EliotStreet,Female
P,Tomato,21349822,Walter-Von-Rueden
P,Cake,10004982,Walter-Von-Rueden
P,Soup,20004922,Walter-Von-Rueden
P,Mackerel,13107168,MertzInc
P,Sardines,12207162,MertzInc
P,Soup,36800141,Cole-BoyerGroup
T,477802-3682,13107168,$81.11 ,1/5/2011,SibylLafuente
T,460802-6738,12207162,$41.99 ,12/3/2013,SibylLafuente
T,558895-7053,21695099,$106.74 ,11/2/2008,DaraVeschambes
T,904027-5830,55777011,$55.55 ,15/1/2017,DaraVeschambes
T,810816-8734,21695099,$106.74 ,18/5/2015,HeywoodPittman
P,Chilisauce,67700142,Cole-BoyerGroup
P,Tomato,33800130,Cole-BoyerGroup
C,HeywoodPittman,910-175-9305,33MeadowValeStreet,Male
T,622816-6666,55777011,$55.55 ,19/5/2015,HeywoodPittman
T,590444-3953,21695099,$106.74 ,1/1/2013,BarbabasDimblebee
T,790444-1111,55777011,$55.55 ,1/2/2015,BarbabasDimblebee
T,531004-0545,66949246,$13.93 ,11/5/2016,HeywoodPittman
C,BaryramBenditt,840-813-3844,20161CoolidgeAlley,Male
C,SibylLafuente,566-414-3462,06GroverAvenue,Female
C,LennardStimson,918-421-5098,60PineViewCenter,Male
C,CornyBorit,648-816-2397,5DixonJunction,Male
C,ZerkCheer,604-825-7862,1CrownhardtParkway,Male
C,PerlBirtley,740-480-1288,8249LienParkway,Female
C,AurieMudie,432-744-1899,595EschAvenue,Female
P,Peppercorns,1130139,HermannGroup
P,Flour,51141005,CakeFun
P,Soysauce,55777011,ReillyBoganInc
P,Apple,49349891,Walter-Von-Rueden
P,Banana,44726144,HermannGroup
P,Milk,33726748,HermannGroup
T,953913-6013,21695099,$106.74 ,12/2/2017,LesPocknell
T,343913-6014,55777011,$55.55 ,14/2/2017,LesPocknell
T,923464-9213,49349891,$44.72 ,3/2/2016,HeywoodPittman
T,588465-9229,21349822,$24.11 ,3/3/2017,HeywoodPittman
T,163837-4393,49349891,$44.72 ,12/9/2012,ZerkCheer
T,173831-2333,21349822,$24.11 ,14/10/2015,ZerkCheer
T,899838-8453,10004982,$77.77 ,11/10/2016,ZerkCheer
T,999932-9000,20004922,$23.72 ,1/10/2016,ZerkCheer
T,939932-3337,20004922,$23.72 ,12/11/2016,ZerkCheer
T,969931-9563,20004922,$23.72 ,12/12/2016,ZerkCheer
T,202965-8770,13107168,$81.11 ,3/9/2017,CornyBorit
